LED #,LED PWM (%),LED current (%),Duration (s)
1,71.135947,100,5
1,0,100,3
1,0,100,1
1,47.5575753,100,5
1,0,100,3
1,0,100,1
1,34.8981526,100,5
1,0,100,3
1,0,100,1
1,28.5447399,100,5
1,0,100,3
1,0,100,1
1,23.6061437,100,5
1,0,100,3
1,0,100,1
1,17.6751136,100,5
1,0,100,3
1,0,100,1
1,9.6625172,100,5
1,0,100,3
1,0,100,1
1,18.6085126,100,5
1,0,100,3
1,0,100,1
